代號,名稱,股數
4155,訊映,7.406
4157,F*太景,0.209
4160,創源,2.425
4161,聿新科,5.226
4162,智擎,14.71
4163,鐿鈦,4.024
4164,承業醫,13.99
4167,展旺,24.66
4168,醣聯,7.65
4171,瑞基,3.434
4173,久裕,4.457
4174,浩鼎,17.22
4175,杏一,2.824
4180,安成藥,12.04
4183,福永生技,2.38
4188,安克,5.27
4190,F-佐登,6.115
4192,杏國,6.987
4198,環瑞醫,14.18
4205,中華食,8.07
4207,環泰,17.02
4303,信立,2
4304,勝昱,5.133
4305,世坤,5.501
4306,炎洲,53.48
4401,東隆興,12.03
4402,福大,4.599
4406,新昕纖,5.191
4413,飛寶,2.331
4414,如興,85.24
4415,台原藥,3.363
4416,三圓,6.002
4417,金洲,8.397
4419,松懋,3.258
4420,光明,4.045
4426,利勤,14.02
4429,聚紡,3.435
4430,耀億,5.627
4432,銘旺實,5.059
4433,興采,3.152
4438,廣越,10.38
4502,健信,4.43
4503,金雨,3.926
4506,崇友,17.7
4510,高鋒,10.8
4513,福裕,7.688
4523,永彰,6.4
4526,東台,25.48
4527,方土霖,7.615
4528,江興鍛,7.651
4529,昶洧,8.133
4530,宏易,4.617
4532,瑞智,49.02
4533,協易機,15.84
4534,慶騰,8.738
4535,至興,7.566
4536,拓凱,9.082
4541,晟田,5.414
4542,科嶠,2.829
4543,萬在,5.684
4545,銘鈺,7.7
4549,桓達,4.039
4550,長佳,3.446
4551,智伸科,8.193
4552,力達KY,10
4554,橙的,2.137
4555,氣立,6.688
4556,旭然,3.523
4557,F-永新,3.443
4560,強信-KY,6.525
4562,穎漢,6.755
4566,時碩工業,6.6
4609,唐鋒,4.795
4702,中美實,22.5
4703,揚華,6.574
4706,大恭,7.903
4707,磐亞,24.57
4711,永純,6.106
4712,南璋,6.052
4714,永捷,8.53
4716,大立,7.443
4720,德淵,8.858
4721,美琪瑪,7.499
4722,國精化,9.525
4725,信昌化,29.2
4726,永昕,11.21
4728,雙美,5.446
4729,熒茂,10.49
4733,上緯,8.859
4735,豪展,3.411
4736,泰博,7.833
4737,華廣,5.945
4739,康普,8.612
4741,泓瀚,3.284
4743,合一,19.58
4745,F-合富,5.77
4746,台耀,9.301
4747,強生,3.002
4754,國碳科技,1.563
4755,三福化,9.071
4762,F-三汰,2.072
4763,F-材料,4.648
4764,雙鍵,6.981
4803,F-VHQ,3.228
4804,F-大略,3.603
4806,昇華,3.175
4807,日成-KY,3.816
4903,聯光通,9.028
4904,遠傳,325.9
4905,台聯電,4.402
4906,正文,32.07
4907,富宇,11.81
4908,前鼎,7.763
4909,新復興,9.336
4911,德英,5.566
4912,F-聯德,3.954
4915,致伸,44.57
4916,事欣科,8.057
4919,新唐,20.76
4924,F-欣厚,3.716
4927,F-泰鼎,14.45
4930,燦星網,13.43
4933,友輝,7.733
4934,太極,35.65
4935,F-茂林,13.09
4938,和碩,261.4
4939,亞電,9.82
4942,嘉彰,14.24
4943,康控KY,10.72
4944,兆遠,21.15
4946,辣椒,2.732
4947,F-昂寶,5.599
4950,牧東,4.578
4952,凌通,10.88
4953,緯軟,4.388
4956,光鋐,10.04
4958,F-臻鼎,80.47
4960,奇美材,66.57
4965,商店街,3.445
4966,F-譜瑞,7.838
4968,立積,5.489
4971,F-IET,3.614
4972,湯石,3.981
4973,廣穎,6.478
4974,亞泰,7.25
4976,佳凌,11.56
4977,F-眾達,6.055
4979,華星光,9.097
4984,F-科納,4.62
4987,科誠,2.52
4991,F-環宇,8.044
4994,傳奇,11.06
4995,晶達,3.44
4999,鑫禾,7.442
5007,三星,29.49
5009,榮剛,46.67
5011,久陽,4.114
5013,強新,13.34
5014,建錩,16.53
5015,華祺,6.064
5016,松和,4.962
5102,富強,6.409
5201,凱衛,3.067
5202,力新,5.909
5203,訊連,8.707
5205,漢康,1.701
5206,坤悅,14.85
5209,新鼎,2.349
5210,寶碩,6.57
5211,蒙恬,3.202
5212,凌網,3.463
5213,亞昕,34.21
5215,F-科嘉,5.434
5225,F-東科,6.199
5227,F-立凱,21.06
5230,雷笛克,5.196
5234,達興,9.338
5243,F-乙盛,17.35
5245,智晶,4.663
5251,天鉞電,3.805
5255,美桀,4.512
5258,虹堡,7.454
5259,清惠,2.926
5263,智崴,4.468
5264,F-鎧勝,34.12
5266,F*AS,2.888
5269,祥碩,6.004
5272,笙科,5.796
5274,信驊,3.394
5276,F-達輝,3.95
5278,尚凡,1.425
5281,F-大峽,3.701
5284,F-jpp,3.889
5285,界霖,8.199
5287,數字,4.258
5288,F-豐祥,6.581
5289,宜鼎,7.201
5291,邑昇,3.355
5299,杰力,3.531
5301,寶得利,13.8
5302,太欣,16.24
5304,鼎創達,18.6
5305,敦南,31.11
5306,桂盟,12
5309,系統電,21.36
5310,天剛,4.96
5312,寶島科,6.006
5314,世紀,6
5315,光聯,10.64
5317,凱美,13.46
5321,友銓,2.88
5324,士開,10.64
5328,華容,17.27
5340,建榮,19.49
5344,立衛,7.945
5345,天揚,5
5347,世界,163.9
5348,系通,2.595
5349,先豐,22.41
5351,鈺創,43.69
5353,台林,7.5
5355,佳總,16.61
5356,協益,12.88
5364,力麗店,1.41
5371,中光電,43.44
5381,合正,18.02
5383,金利,5.01
5384,捷元,7.957
5386,青雲,1.352
5388,中磊,24.57
5392,應華,10.86
5395,圓方,7.615
5398,力瑋,4.995
5403,中菲,6.263
5410,國眾,8.59
5425,台半,24.11
5426,振發,14.38
5432,達威,2.069
5434,崇越,18.17
5438,東友,11.25
5439,高技,8.598
5443,均豪,16.51
5450,寶聯通,5.039
5452,佶優,14.88
5455,訊利電,6.55
5457,宣德,16.78
5460,同協,7.203
5464,霖宏,7.107
5465,富驊,14.41
5468,凱鈺,6.982
5469,瀚宇博,45.04
5471,松翰,16.79
5474,聰泰,3.373
5475,德宏,15.66
5478,智冠,12.75
5480,統盟,19.91
5481,華韡,9.469
5483,中美晶,59.21
5484,慧友,11.55
5487,通泰,2.213
5488,松普,9.159
5489,彩富,10.32
5490,同亨,9.44
5491,連展,20.73
5493,三聯,4.426
5498,凱崴,16.19
5508,永信建,21.74
5511,德昌,11.34
5512,力麒,74.4
5514,三豐,17.66
5515,建國,33.79
5516,雙喜,3.83
5519,隆大,18.31
5520,力泰,7.096
5521,工信,34.75
5522,遠雄,83.54
5523,豐謙,15.5
5525,順天,22.27
5529,志嘉,10.43
5530,龍巖,42.01
5531,鄉林,92.64
5533,皇鼎,28.52
5534,長虹,29.03
5536,聖暉,4.715
5538,F-東明,16.8
5543,F-崇佑,3.07
5601,台聯櫃,6.48
5603,陸海,7.832
5604,中連貨,10.88
5607,遠雄港,17
5608,四維航,42.36
5609,中菲行,12.9
5701,劍湖山,25.38
5703,亞都,7.024
5704,老爺知,3.886
5706,鳳凰,6.256
5820,日盛金,354.2
5871,F-中租,126.4
5878,台名,2.369
5880,合庫金,1220
5902,德記,9.45
5903,全家,22.32
5904,寶雅,9.769
5905,南仁湖,20.39
5906,F-台南,6
5907,F-大洋,19.75
6005,群益證,216.9
6015,宏遠證,36.82
6016,康和證,61.33
